flow_id,timestamp,protocol,service,duration,src_bytes,dst_bytes,src_packets,dst_packets,anomaly_score,label,suspicion_reason,threat_category
1,2025-08-08T10:01:31.778130,udp,dns,5.005274057388306,364,0,4,0,6.291024809638886,Normal,Statistical Anomaly,Suspicious
2,2025-08-08T10:01:31.778130,tcp,telnet,15.1785089969635,303,198,3,3,20.00999222450883,Normal,Statistical Anomaly,Suspicious
3,2025-08-08T10:01:31.778130,tcp,telnet,15.17858600616455,303,198,3,3,20.01009607414232,Normal,Statistical Anomaly,Suspicious
4,2025-08-08T10:01:31.778130,tcp,ssh,15.17841410636902,462,0,7,0,20.009864261183367,Normal,Statistical Anomaly,Suspicious
69,2025-08-08T10:01:31.778130,tcp,-,8.123347997665405,658,54,2,1,10.49585788760208,Normal,Statistical Anomaly,Suspicious
89,2025-08-08T10:01:31.778130,tcp,-,15.173925161361694,1158,0,2,0,20.003810759947186,Normal,Statistical Anomaly,Suspicious
117,2025-08-08T10:01:31.778130,tcp,ssh,15.164166927337646,474,0,7,0,19.990651435956565,Normal,Statistical Anomaly,Suspicious
134,2025-08-08T10:01:31.778130,tcp,-,8.116209030151367,104,54,1,1,10.486230737213573,Normal,Statistical Anomaly,Suspicious
199,2025-08-08T10:01:31.778130,tcp,-,8.108674049377441,104,54,1,1,10.476069548926548,Normal,Statistical Anomaly,Suspicious
264,2025-08-08T10:01:31.778130,tcp,-,8.108130931854248,104,54,1,1,10.47533713572196,Normal,Statistical Anomaly,Suspicious
329,2025-08-08T10:01:31.778130,tcp,-,8.099102020263672,104,54,1,1,10.463161328848473,Normal,Statistical Anomaly,Suspicious
394,2025-08-08T10:01:31.778130,tcp,-,8.092738151550293,658,54,2,1,10.45457942662859,Normal,Statistical Anomaly,Suspicious
459,2025-08-08T10:01:31.778130,tcp,-,8.085026025772095,104,54,1,1,10.444179352032956,Normal,Statistical Anomaly,Suspicious
524,2025-08-08T10:01:31.778130,tcp,-,8.073292970657349,104,54,1,1,10.428356911899396,Normal,Statistical Anomaly,Suspicious
769,2025-08-08T10:01:31.778130,tcp,-,17.78264880180359,1158,0,2,0,23.52176692926747,Normal,Statistical Anomaly,Suspicious
2992,2025-08-08T10:01:31.778130,udp,dns,7.4278199672698975,243,0,3,0,9.55791371922302,Normal,Statistical Anomaly,Suspicious
7028,2025-08-08T10:01:31.778130,udp,dns,5.339015007019043,324,0,4,0,6.7410862935411755,Normal,Statistical Anomaly,Suspicious
7029,2025-08-08T10:01:31.779135,udp,dns,5.339314937591553,162,0,2,0,6.741490760534755,Normal,Statistical Anomaly,Suspicious
7030,2025-08-08T10:01:31.779135,tcp,-,2.9434380531311035,554,54,1,1,3.5105659757262813,Normal,Statistical Anomaly,Suspicious
7031,2025-08-08T10:01:31.779135,tcp,-,2.9432249069213867,554,54,1,1,3.510278540517808,Normal,Statistical Anomaly,Suspicious
7032,2025-08-08T10:01:31.779135,tcp,-,2.943129062652588,554,54,1,1,3.5101492911287626,Normal,Statistical Anomaly,Suspicious
7033,2025-08-08T10:01:31.779135,tcp,-,2.943150997161865,554,54,1,1,3.5101788705909316,Normal,Statistical Anomaly,Suspicious
7034,2025-08-08T10:01:31.779135,tcp,-,2.941838026046753,554,54,1,1,3.50840828256737,Normal,Statistical Anomaly,Suspicious
7035,2025-08-08T10:01:31.779135,tcp,-,2.943134069442749,554,54,1,1,3.5101560429625187,Normal,Statistical Anomaly,Suspicious
7036,2025-08-08T10:01:31.779135,tcp,-,2.941483974456787,554,54,1,1,3.5079308314660467,Normal,Statistical Anomaly,Suspicious
7037,2025-08-08T10:01:31.779135,tcp,-,2.943795919418335,554,54,1,1,3.5110485710818953,Normal,Statistical Anomaly,Suspicious
7038,2025-08-08T10:01:31.779135,tcp,-,2.94190001487732,554,54,1,1,3.508491876699589,Normal,Statistical Anomaly,Suspicious
7039,2025-08-08T10:01:31.779135,tcp,-,2.944387197494507,554,54,1,1,3.5118459304969,Normal,Statistical Anomaly,Suspicious
7040,2025-08-08T10:01:31.779135,tcp,-,2.9421942234039307,554,54,1,1,3.508888627311732,Normal,Statistical Anomaly,Suspicious
7041,2025-08-08T10:01:31.779135,tcp,-,2.942968845367432,554,54,1,1,3.509933232448568,Normal,Statistical Anomaly,Suspicious
7042,2025-08-08T10:01:31.779135,tcp,-,2.944403886795044,554,54,1,1,3.5118684366094204,Normal,Statistical Anomaly,Suspicious
7043,2025-08-08T10:01:31.779135,tcp,-,2.941978931427002,554,54,1,1,3.50859829846022,Normal,Statistical Anomaly,Suspicious
7044,2025-08-08T10:01:31.779135,tcp,-,2.942096948623657,554,54,1,1,3.5087574488273274,Normal,Statistical Anomaly,Suspicious
7045,2025-08-08T10:01:31.779135,tcp,-,2.943192958831787,554,54,1,1,3.510235457388126,Normal,Statistical Anomaly,Suspicious
7047,2025-08-08T10:01:31.779135,tcp,-,2.870335102081299,554,54,1,1,3.411984058633056,Normal,Statistical Anomaly,Suspicious
7177,2025-08-08T10:01:31.779135,udp,dns,5.005335092544556,324,0,4,0,6.291107117707531,Normal,Statistical Anomaly,Suspicious
7182,2025-08-08T10:01:31.779135,tcp,-,0.0,1054,0,1,0,3.6170806130615683,Normal,Statistical Anomaly,Suspicious
7183,2025-08-08T10:01:31.779135,tcp,-,0.0,1054,0,1,0,3.6170806130615683,Normal,Statistical Anomaly,Suspicious
7184,2025-08-08T10:01:31.779135,tcp,-,0.0,1054,0,1,0,3.6170806130615683,Normal,Statistical Anomaly,Suspicious
7185,2025-08-08T10:01:31.780218,tcp,-,0.0,1054,0,1,0,3.6170806130615683,Normal,Statistical Anomaly,Suspicious
7186,2025-08-08T10:01:31.780218,tcp,-,0.0,1054,0,1,0,3.6170806130615683,Normal,Statistical Anomaly,Suspicious
7187,2025-08-08T10:01:31.780218,tcp,-,0.0,1054,0,1,0,3.6170806130615683,Normal,Statistical Anomaly,Suspicious
7188,2025-08-08T10:01:31.780218,tcp,-,0.0,1054,0,1,0,3.6170806130615683,Normal,Statistical Anomaly,Suspicious
7189,2025-08-08T10:01:31.780218,tcp,-,0.0,1054,0,1,0,3.6170806130615683,Normal,Statistical Anomaly,Suspicious
7190,2025-08-08T10:01:31.780218,tcp,-,0.0,1054,0,1,0,3.6170806130615683,Normal,Statistical Anomaly,Suspicious
7191,2025-08-08T10:01:31.780218,tcp,-,0.0,1054,0,1,0,3.6170806130615683,Normal,Statistical Anomaly,Suspicious
7192,2025-08-08T10:01:31.780218,tcp,-,0.0,1054,0,1,0,3.6170806130615683,Normal,Statistical Anomaly,Suspicious
7193,2025-08-08T10:01:31.780218,tcp,-,0.0,1054,0,1,0,3.6170806130615683,Normal,Statistical Anomaly,Suspicious
7194,2025-08-08T10:01:31.780218,tcp,-,0.0,1054,0,1,0,3.6170806130615683,Normal,Statistical Anomaly,Suspicious
7195,2025-08-08T10:01:31.780218,tcp,-,0.0,1054,0,1,0,3.6170806130615683,Normal,Statistical Anomaly,Suspicious
7196,2025-08-08T10:01:31.780218,tcp,-,0.0,1054,0,1,0,3.6170806130615683,Normal,Statistical Anomaly,Suspicious
7197,2025-08-08T10:01:31.780218,tcp,-,0.0,1054,0,1,0,3.6170806130615683,Normal,Statistical Anomaly,Suspicious
7198,2025-08-08T10:01:31.780218,tcp,-,0.0,1054,0,1,0,3.6170806130615683,Normal,Statistical Anomaly,Suspicious
7199,2025-08-08T10:01:31.780218,tcp,-,0.0,1054,0,1,0,3.6170806130615683,Normal,Statistical Anomaly,Suspicious
7200,2025-08-08T10:01:31.780218,tcp,-,0.0,1054,0,1,0,3.6170806130615683,Normal,Statistical Anomaly,Suspicious
7201,2025-08-08T10:01:31.780218,tcp,-,0.0,1054,0,1,0,3.6170806130615683,Normal,Statistical Anomaly,Suspicious
7202,2025-08-08T10:01:31.780218,tcp,-,1.8244879245758057,5808,19823,88,86,80.82190610719206,Normal,Statistical Anomaly,Suspicious
7203,2025-08-08T10:01:31.780218,tcp,-,1.8204209804534912,20971,6006,94,91,78.86031540597547,Normal,Statistical Anomaly,Suspicious
