flow_id,timestamp,protocol,service,duration,src_bytes,dst_bytes,src_packets,dst_packets,anomaly_score,label,suspicion_reason,threat_category
3,2025-08-07T23:21:31.413826,other,-,644.3247277736664,427,0,7,0,4.783331292946415,Normal,Statistical Anomaly,Suspicious
5,2025-08-07T23:21:31.413826,other,-,327.5299348831177,427,0,7,0,4.765757856805233,Normal,Statistical Anomaly,Suspicious
7,2025-08-07T23:21:31.413826,other,-,654.3152821063995,305,0,5,0,4.861404566396196,Normal,Statistical Anomaly,Suspicious
11,2025-08-07T23:21:31.413826,other,-,469.5522320270538,5752,0,4,0,9.614779576516328,Normal,Statistical Anomaly,Suspicious
12,2025-08-07T23:21:31.413826,other,-,0.3267500400543213,183,0,3,0,3.367010694187842,Normal,Statistical Anomaly,Suspicious
15,2025-08-07T23:21:31.413826,other,-,72.28423309326172,3008,0,2,0,4.656142953691384,Normal,Statistical Anomaly,Suspicious
20,2025-08-07T23:21:31.413826,other,-,551.0192999839783,671,0,11,0,8.101573972499763,Normal,Statistical Anomaly,Suspicious
23,2025-08-07T23:21:31.414826,other,-,0.1571650505065918,2084,0,2,0,3.3539143617415097,Normal,Statistical Anomaly,Suspicious
27,2025-08-07T23:21:31.414826,other,-,278.57401490211487,366,0,6,0,3.9318038278815997,Normal,Statistical Anomaly,Suspicious
39,2025-08-07T23:21:31.414826,other,-,761.6210498809814,488,0,8,0,5.699967900440111,Normal,Statistical Anomaly,Suspicious
43,2025-08-07T23:21:31.414826,other,-,833.4369699954987,244,0,4,0,6.261188407572312,Normal,Statistical Anomaly,Suspicious
54,2025-08-07T23:21:31.414826,other,-,332.26485896110535,244,0,4,0,3.40089307752136,Normal,Statistical Anomaly,Suspicious
58,2025-08-07T23:21:31.414826,other,-,413.433956861496,244,0,4,0,3.4009018112224307,Normal,Statistical Anomaly,Suspicious
60,2025-08-07T23:21:31.414826,other,-,723.5433211326599,732,0,12,0,8.935528001423396,Normal,Statistical Anomaly,Suspicious
62,2025-08-07T23:21:31.414826,other,-,649.7307879924774,305,0,5,0,4.825578079630348,Normal,Statistical Anomaly,Suspicious
63,2025-08-07T23:21:31.414826,other,-,459.9365110397339,366,0,6,0,3.9318038278815997,Normal,Statistical Anomaly,Suspicious
65,2025-08-07T23:21:31.414826,other,-,566.7228960990906,244,0,4,0,4.176895571488753,Normal,Statistical Anomaly,Suspicious
69,2025-08-07T23:21:31.415826,other,-,386.4629340171814,244,0,4,0,3.4008993161590295,Normal,Statistical Anomaly,Suspicious
75,2025-08-07T23:21:31.415826,other,-,362.3186619281769,366,0,6,0,3.9318038278815997,Normal,Statistical Anomaly,Suspicious
76,2025-08-07T23:21:31.415826,other,-,511.4384739398956,244,0,4,0,3.744863907879639,Normal,Statistical Anomaly,Suspicious
90,2025-08-07T23:21:31.415826,other,-,513.430330991745,366,0,6,0,3.9318038278815997,Normal,Statistical Anomaly,Suspicious
118,2025-08-07T23:21:31.415826,other,-,123.84598898887634,122,0,2,0,3.4008778883902213,Normal,Statistical Anomaly,Suspicious
120,2025-08-07T23:21:31.415826,other,-,138.3692331314087,183,0,3,0,3.4008574464205945,Normal,Statistical Anomaly,Suspicious
128,2025-08-07T23:21:31.416826,other,-,479.5242991447449,2376,0,2,0,3.5140662971223735,Normal,Statistical Anomaly,Suspicious
174,2025-08-07T23:21:31.416826,other,-,741.2208340167999,366,0,6,0,5.540546152801902,Normal,Statistical Anomaly,Suspicious
181,2025-08-07T23:21:31.416826,other,-,365.0377390384674,244,0,4,0,3.4008970713607023,Normal,Statistical Anomaly,Suspicious
196,2025-08-07T23:21:31.416826,other,-,123.97386813163756,2424,0,2,0,3.600806296355463,Normal,Statistical Anomaly,Suspicious
262,2025-08-07T23:21:31.416826,other,-,55.87338805198669,183,0,3,0,3.400739156713099,Normal,Statistical Anomaly,Suspicious
281,2025-08-07T23:21:31.417835,other,-,430.4140939712525,122,0,2,0,3.4009203920869138,Normal,Statistical Anomaly,Suspicious
288,2025-08-07T23:21:31.417835,other,-,104.16716384887695,122,0,2,0,3.4008666149998654,Normal,Statistical Anomaly,Suspicious
326,2025-08-07T23:21:31.417835,other,-,463.15653586387634,1536,0,2,0,3.4009216059367064,Normal,Statistical Anomaly,Suspicious
