id,dur,proto,service,state,spkts,dpkts,sbytes,dbytes,rate,sload,dload,smean,dmean,sinpkt,dinpkt,sjit,djit,udp_packet_rate,sttl,dttl,sloss,dloss,swin,dwin,stcpb,dtcpb,tcprtt,synack,ackdat,trans_depth,response_body_len,ct_srv_src,ct_state_ttl,ct_dst_ltm,ct_src_dport_ltm,ct_dst_sport_ltm,ct_dst_src_ltm,ct_src_ltm,ct_srv_dst,is_ftp_login,ct_ftp_cmd,ct_flw_http_mthd,is_sm_ips_ports,attack_cat,label,tcp_syn_count,tcp_fin_count,tcp_rst_count
1,5.005274057388306,udp,dns,CON,4,0,364,0,0.7991570399817736,72.7232906383414,0.0,91.0,91.0,1668.4246857961018,1668.4246857961018,2359.454364752035,2359.454364752035,0.7991570399817736,64,64,0,0,8192,8192,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,Normal,Normal,0.0,0.0,0.0
2,15.178508996963501,tcp,telnet,INT,3,3,303,198,0.39529574355427893,19.962435049491088,13.044759537291206,83.5,83.5,3035.7017993927,3035.7017993927,4016.563709096227,4016.563709096227,0.0,64,64,0,0,8192,8192,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,Normal,Normal,0.0,0.0,0.0
3,15.17858600616455,tcp,telnet,INT,3,3,303,198,0.39529373800452766,19.962333769228646,13.044693354149413,83.5,83.5,3035.71720123291,3035.71720123291,4016.59538712379,4016.59538712379,0.0,64,64,0,0,8192,8192,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,Normal,Normal,0.0,0.0,0.0
4,15.178414106369019,tcp,ssh,INT,7,0,462,0,0.4611812506197685,30.43796254090472,0.0,66.0,66.0,2529.7356843948364,2529.7356843948364,2790.635988091741,2790.635988091741,0.0,64,64,0,0,8192,8192,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,Normal,Normal,0.0,0.0,0.0
5,0.0,tcp,-,INT,1,0,104,0,1000.0,104000.0,0.0,104.0,104.0,0.0,0.0,0.0,0.0,0.0,64,64,0,0,8192,8192,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,Normal,Normal,0.0,0.0,0.0
6,0.0,tcp,-,INT,1,0,104,0,1000.0,104000.0,0.0,104.0,104.0,0.0,0.0,0.0,0.0,0.0,64,64,0,0,8192,8192,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,Normal,Normal,0.0,0.0,0.0
7,0.0,tcp,-,INT,1,0,104,0,1000.0,104000.0,0.0,104.0,104.0,0.0,0.0,0.0,0.0,0.0,64,64,0,0,8192,8192,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,Normal,Normal,0.0,0.0,0.0
8,0.0,tcp,-,INT,1,0,104,0,1000.0,104000.0,0.0,104.0,104.0,0.0,0.0,0.0,0.0,0.0,64,64,0,0,8192,8192,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,Normal,Normal,0.0,0.0,0.0
9,0.0,tcp,-,INT,1,0,104,0,1000.0,104000.0,0.0,104.0,104.0,0.0,0.0,0.0,0.0,0.0,64,64,0,0,8192,8192,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,Normal,Normal,0.0,0.0,0.0
10,0.0,tcp,-,INT,1,0,104,0,1000.0,104000.0,0.0,104.0,104.0,0.0,0.0,0.0,0.0,0.0,64,64,0,0,8192,8192,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,Normal,Normal,0.0,0.0,0.0
11,0.0,tcp,-,INT,1,0,104,0,1000.0,104000.0,0.0,104.0,104.0,0.0,0.0,0.0,0.0,0.0,64,64,0,0,8192,8192,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,Normal,Normal,0.0,0.0,0.0
12,0.0,tcp,-,INT,1,0,104,0,1000.0,104000.0,0.0,104.0,104.0,0.0,0.0,0.0,0.0,0.0,64,64,0,0,8192,8192,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,Normal,Normal,0.0,0.0,0.0
13,0.0,tcp,-,INT,1,0,104,0,1000.0,104000.0,0.0,104.0,104.0,0.0,0.0,0.0,0.0,0.0,64,64,0,0,8192,8192,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,Normal,Normal,0.0,0.0,0.0
14,0.0,tcp,-,INT,1,0,104,0,1000.0,104000.0,0.0,104.0,104.0,0.0,0.0,0.0,0.0,0.0,64,64,0,0,8192,8192,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,Normal,Normal,0.0,0.0,0.0
15,0.0,tcp,-,INT,1,0,104,0,1000.0,104000.0,0.0,104.0,104.0,0.0,0.0,0.0,0.0,0.0,64,64,0,0,8192,8192,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,Normal,Normal,0.0,0.0,0.0
16,0.0,tcp,-,INT,1,0,104,0,1000.0,104000.0,0.0,104.0,104.0,0.0,0.0,0.0,0.0,0.0,64,64,0,0,8192,8192,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,Normal,Normal,0.0,0.0,0.0
17,0.0,tcp,-,INT,1,0,104,0,1000.0,104000.0,0.0,104.0,104.0,0.0,0.0,0.0,0.0,0.0,64,64,0,0,8192,8192,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,Normal,Normal,0.0,0.0,0.0
18,0.0,tcp,-,INT,1,0,104,0,1000.0,104000.0,0.0,104.0,104.0,0.0,0.0,0.0,0.0,0.0,64,64,0,0,8192,8192,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,Normal,Normal,0.0,0.0,0.0
19,0.0,tcp,-,INT,1,0,104,0,1000.0,104000.0,0.0,104.0,104.0,0.0,0.0,0.0,0.0,0.0,64,64,0,0,8192,8192,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,Normal,Normal,0.0,0.0,0.0
20,0.0,tcp,-,INT,1,0,104,0,1000.0,104000.0,0.0,104.0,104.0,0.0,0.0,0.0,0.0,0.0,64,64,0,0,8192,8192,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,Normal,Normal,0.0,0.0,0.0
21,0.0,tcp,-,INT,1,0,104,0,1000.0,104000.0,0.0,104.0,104.0,0.0,0.0,0.0,0.0,0.0,64,64,0,0,8192,8192,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,Normal,Normal,0.0,0.0,0.0
22,0.0,tcp,-,INT,1,0,104,0,1000.0,104000.0,0.0,104.0,104.0,0.0,0.0,0.0,0.0,0.0,64,64,0,0,8192,8192,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,Normal,Normal,0.0,0.0,0.0
23,0.0,tcp,-,INT,1,0,104,0,1000.0,104000.0,0.0,104.0,104.0,0.0,0.0,0.0,0.0,0.0,64,64,0,0,8192,8192,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,Normal,Normal,0.0,0.0,0.0
